,code,name,price,change,change_%,week_change_%,amplitude,open,highest,lowest,close_ystdy,volume,volume_amount_yi
0,5274,信驊,2355.0,▼-35.00,-1.46%,9.03%,5.02%,2330.0,2450.0,2330.0,2390.0,1225,28.849
1,3008,大立光,2215.0,--,--,0.00%,2.48%,2210.0,2260.0,2205.0,2215.0,583,12.913
2,3529,力旺,1700.0,▼-40.00,-2.30%,4.29%,1.72%,1700.0,1715.0,1685.0,1740.0,952,16.184
3,6409,旭隼,1670.0,--,--,7.40%,2.69%,1675.0,1710.0,1665.0,1670.0,146,2.438
4,1590,亞德客-KY,1085.0,--,--,2.84%,3.69%,1085.0,1095.0,1055.0,1085.0,548,5.946
5,4966,譜瑞-KY,992.0,▲47.00,+4.97%,7.83%,7.09%,945.0,1005.0,938.0,945.0,1185,11.755
6,3661,世芯-KY,949.0,▲16.00,+1.71%,6.87%,3.32%,938.0,954.0,923.0,933.0,4258,40.408
7,5269,祥碩,949.0,▲32.00,+3.49%,4.52%,4.14%,917.0,953.0,915.0,917.0,727,6.899
8,6669,緯穎,843.0,▼-12.00,-1.40%,9.91%,2.22%,854.0,862.0,843.0,855.0,1104,9.307
9,3443,創意,841.0,▲43.00,+5.39%,7.00%,7.14%,801.0,858.0,801.0,798.0,7965,66.986
10,3533,嘉澤,838.0,▲1.00,+0.12%,6.21%,2.27%,836.0,843.0,824.0,837.0,592,4.961
11,6781,AES-KY,777.0,▼-7.00,-0.89%,-1.02%,1.91%,784.0,792.0,777.0,784.0,522,4.056
12,8454,富邦媒,749.0,▼-6.00,-0.79%,-6.38%,2.52%,754.0,761.0,742.0,755.0,881,6.599
13,2454,聯發科,717.0,▼-14.00,-1.92%,-0.97%,3.15%,739.0,739.0,716.0,731.0,7078,50.749
14,2207,和泰車,636.0,▼-11.00,-1.70%,-4.07%,2.63%,650.0,652.0,635.0,647.0,183,1.164
15,6415,矽力*-KY,595.0,▲17.00,+2.94%,1.19%,4.15%,578.0,600.0,576.0,578.0,2458,14.625
16,6510,精測,550.0,▲11.00,+2.04%,0.00%,2.78%,539.0,554.0,539.0,539.0,161,0.886
17,6533,晶心科,550.0,▲12.00,+2.23%,1.85%,2.60%,538.0,551.0,537.0,538.0,2156,11.858
18,6643,M31,535.0,▲9.00,+1.71%,-0.19%,3.04%,521.0,537.0,521.0,526.0,1401,7.495
19,5904,寶雅,531.0,▲12.00,+2.31%,1.14%,2.31%,523.0,532.0,520.0,519.0,342,1.816
